get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
bootstrap sinks from disk|private Object () { Preconditions.checkState(sinks.isEmpty(), "Already bootstrapped?!"); final File baseDir = tuningConfig.getBasePersistDirectory(); if (!baseDir.exists()) { return null; } final File[] files = baseDir.listFiles(); if (files == null) { return null; } final Committed committed; File commitFile = null; try { commitLock.lock(); commitFile = computeCommitFile(); if (commitFile.exists()) { committed = objectMapper.readValue(commitFile, Committed.class); } else { committed = Committed.nil(); } } catch (Exception e) { throw new ISE(e, "Failed to read commitFile: %s", commitFile); } finally { commitLock.unlock(); } int rowsSoFar = 0; log.info("Loading sinks from[%s]: %s", baseDir, committed.getHydrants().keySet()); for (File sinkDir : files) { final File identifierFile = new File(sinkDir, IDENTIFIER_FILE_NAME); if (!identifierFile.isFile()) { // No identifier in this sinkDir; it must not actually be a sink directory. Skip it. continue; } try { final SegmentIdWithShardSpec identifier = objectMapper.readValue(new File(sinkDir, "identifier.json"), SegmentIdWithShardSpec.class); final int committedHydrants = committed.getCommittedHydrants(identifier.toString()); if (committedHydrants <= 0) { log.info("Removing uncommitted sink at [%s]", sinkDir); FileUtils.deleteDirectory(sinkDir); continue; } // To avoid reading and listing of "merged" dir and other special files final File[] sinkFiles = sinkDir.listFiles(( dir, fileName) -> !(Ints.tryParse(fileName) == null)); Arrays.sort(sinkFiles, ( o1, o2) -> Ints.compare(Integer.parseInt(o1.getName()), Integer.parseInt(o2.getName()))); List<FireHydrant> hydrants = new ArrayList<>(); for (File hydrantDir : sinkFiles) { final int hydrantNumber = Integer.parseInt(hydrantDir.getName()); if (hydrantNumber >= committedHydrants) { log.info("Removing uncommitted segment at [%s]", hydrantDir); FileUtils.deleteDirectory(hydrantDir); } else { log.info("Loading previously persisted segment at [%s]", hydrantDir); if (hydrantNumber != hydrants.size()) { throw new ISE("Missing hydrant [%,d] in sinkDir [%s].", hydrants.size(), sinkDir); } hydrants.add(new FireHydrant(new QueryableIndexSegment(indexIO.loadIndex(hydrantDir), identifier.asSegmentId()), hydrantNumber)); } } // Make sure we loaded enough hydrants. if (committedHydrants != hydrants.size()) { throw new ISE("Missing hydrant [%,d] in sinkDir [%s].", hydrants.size(), sinkDir); } Sink currSink = new Sink(identifier.getInterval(), schema, identifier.getShardSpec(), identifier.getVersion(), tuningConfig.getMaxRowsInMemory(), maxBytesTuningConfig, tuningConfig.isReportParseExceptions(), null, hydrants); rowsSoFar += currSink.getNumRows(); sinks.put(identifier, currSink); sinkTimeline.add(currSink.getInterval(), currSink.getVersion(), identifier.getShardSpec().createChunk(currSink)); segmentAnnouncer.announceSegment(currSink.getSegment()); } catch (IOException e) { log.makeAlert(e, "Problem loading sink[%s] from disk.", schema.getDataSource()).addData("sinkDir", sinkDir).emit(); } } // Make sure we loaded all committed sinks. final Set<String> loadedSinks = Sets.newHashSet(Iterables.transform(sinks.keySet(), SegmentIdWithShardSpec::toString)); final Set<String> missingSinks = Sets.difference(committed.getHydrants().keySet(), loadedSinks); if (!missingSinks.isEmpty()) { throw new ISE("Missing committed sinks [%s]", Joiner.on(", ").join(missingSinks)); } totalRows.set(rowsSoFar); return committed.getMetadata(); }
order|public static char (DataBuffer buffer) { int length = Shape.shapeInfoLength(Shape.rank(buffer)); return (char) buffer.getInt(length - 1); }
output|public synchronized INDArray[] (boolean train, boolean clearInputs, INDArray... input) { //If !clearInputs, then inputs should be detached (otherwise: will be out of scope) boolean detachedInputs = !clearInputs; try { return outputOfLayersDetached(train, FwdPassType.STANDARD, getOutputLayerIndices(), input, null, null, clearInputs, detachedInputs, null); } catch (OutOfMemoryError e) { CrashReportingUtil.writeMemoryCrashDump(this, e); throw e; } }
retrieve attributes from attribute repository|public static Map<String, List<Object>> (final IPersonAttributeDao attributeRepository, final String principalId, final Set<String> activeAttributeRepositoryIdentifiers) { var filter = IPersonAttributeDaoFilter.alwaysChoose(); if (activeAttributeRepositoryIdentifiers != null && !activeAttributeRepositoryIdentifiers.isEmpty()) { val repoIdsArray = activeAttributeRepositoryIdentifiers.toArray(ArrayUtils.EMPTY_STRING_ARRAY); filter = dao -> Arrays.stream(dao.getId()).anyMatch( daoId -> daoId.equalsIgnoreCase(IPersonAttributeDao.WILDCARD) || StringUtils.equalsAnyIgnoreCase(daoId, repoIdsArray) || StringUtils.equalsAnyIgnoreCase(IPersonAttributeDao.WILDCARD, repoIdsArray)); } val attrs = attributeRepository.getPerson(principalId, filter); if (attrs == null) { return new HashMap<>(0); } return attrs.getAttributes(); }
update page|private void () { // retrieve page final int retrievalPage = page == LAST_PAGE ? pageCount : page; final List<Row> rows; try { rows = client.getExecutor().retrieveResultPage(resultDescriptor.getResultId(), retrievalPage); } catch (SqlExecutionException e) { close(e); return; } // convert page final List<String[]> stringRows = rows.stream().map(CliUtils::rowToString).collect(Collectors.toList()); // update results if (previousResultsPage == retrievalPage) { // only use the previous results if the current page number has not changed // this allows for updated results when the key space remains constant previousResults = results; } else { previousResults = null; previousResultsPage = retrievalPage; } results = stringRows; // check if selected row is still valid if (selectedRow != NO_ROW_SELECTED) { if (selectedRow >= results.size()) { selectedRow = NO_ROW_SELECTED; } } // reset view resetAllParts(); }
get ticket granting ticket from request|public static TicketGrantingTicket (final CasCookieBuilder ticketGrantingTicketCookieGenerator, final TicketRegistry ticketRegistry, final HttpServletRequest request) { val cookieValue = ticketGrantingTicketCookieGenerator.retrieveCookieValue(request); if (StringUtils.isNotBlank(cookieValue)) { val tgt = ticketRegistry.getTicket(cookieValue, TicketGrantingTicket.class); if (tgt != null && !tgt.isExpired()) { return tgt; } } return null; }
sign url with signer|public URL (String bucketName, String blobName, String keyPath) throws IOException { // [START signUrlWithSigner] URL signedUrl = storage.signUrl(BlobInfo.newBuilder(bucketName, blobName).build(), 14, TimeUnit.DAYS, SignUrlOption.signWith(ServiceAccountCredentials.fromStream(new FileInputStream(keyPath)))); // [END signUrlWithSigner] return signedUrl; }
append|int (ByteArraySegment data) { ensureAppendConditions(); int actualLength = Math.min(data.getLength(), getAvailableLength()); if (actualLength > 0) { this.contents.copyFrom(data, writePosition, actualLength); writePosition += actualLength; } return actualLength; }
show spider dialog|public void (Target target) { if (spiderDialog == null) { spiderDialog = new SpiderDialog(this, View.getSingleton().getMainFrame(), new Dimension(700, 430)); } if (spiderDialog.isVisible()) { // Its behind you! Actually not needed no the window is alwaysOnTop, but keeping in case we change that ;) spiderDialog.toFront(); return; } if (target != null) { spiderDialog.init(target); } else { // Keep the previous target spiderDialog.init(null); } spiderDialog.setVisible(true); }
compare|@Override public int (VocabularyWord o1, VocabularyWord o2) { return Integer.compare(o2.getCount(), o1.getCount()); }
on open|@Override public synchronized void (WebSocket webSocket, Response response) { System.out.println("onOpen: " + response); }
run|@Override public void (LottieComposition composition) { resumeAnimation(); }
decode|public static byte[] (String key) { return Validator.isHex(key) ? HexUtil.decodeHex(key) : Base64.decode(key); }
create pooled byte buf allocator|public static PooledByteBufAllocator (boolean allowDirectBufs, boolean allowCache, int numCores) { if (numCores == 0) { numCores = Runtime.getRuntime().availableProcessors(); } return new PooledByteBufAllocator(allowDirectBufs && PlatformDependent.directBufferPreferred(), Math.min(PooledByteBufAllocator.defaultNumHeapArena(), numCores), Math.min(PooledByteBufAllocator.defaultNumDirectArena(), allowDirectBufs ? numCores : 0), PooledByteBufAllocator.defaultPageSize(), PooledByteBufAllocator.defaultMaxOrder(), allowCache ? PooledByteBufAllocator.defaultTinyCacheSize() : 0, allowCache ? PooledByteBufAllocator.defaultSmallCacheSize() : 0, allowCache ? PooledByteBufAllocator.defaultNormalCacheSize() : 0, allowCache ? PooledByteBufAllocator.defaultUseCacheForAllThreads() : false); }
load jar|public static void (URLClassLoader loader, File jarFile) throws UtilException { try { final Method method = ClassUtil.getDeclaredMethod(URLClassLoader.class, "addURL", URL.class); if (null != method) { method.setAccessible(true); final List<File> jars = loopJar(jarFile); for (File jar : jars) { ReflectUtil.invoke(loader, method, new Object[] { jar.toURI().toURL() }); } } } catch (IOException e) { throw new UtilException(e); } }
change method|public static HttpRequestHeader (String method, String header, String body) throws URIException, HttpMalformedHeaderException { HttpRequestHeader hrh = new HttpRequestHeader(header); URI uri = hrh.getURI(); String prevMethod = hrh.getMethod(); if (prevMethod.equalsIgnoreCase(method)) { return hrh; } if (prevMethod.equals(HttpRequestHeader.POST)) { // Was POST, move all params onto the URL if (body != null && body.length() > 0) { StringBuilder sb = new StringBuilder(); if (uri.getQuery() != null) { sb.append(uri.getQuery()); } String[] params = body.split("&"); for (String param : params) { if (sb.length() > 0) { sb.append('&'); } String[] nv = param.split("="); if (nv.length == 1) { // This effectively strips out the equals if theres no value sb.append(nv[0]); } else { sb.append(param); } } uri.setQuery(sb.toString()); } hrh.setURI(uri); // Clear the body body = ""; } else if (method.equals(HttpRequestHeader.POST)) { // To be a port, move all URL query params into the body String query = uri.getQuery(); if (query != null) { StringBuilder sb = new StringBuilder(); String[] params = query.split("&"); for (String param : params) { if (sb.length() > 0) { sb.append('&'); } sb.append(param); String[] nv = param.split("="); if (nv.length == 1) { // Cope with URL params with no values e.g. http://www.example.com/test?key sb.append('='); } } // fixed: dead store to variable body by commenting the following line // body = sb.toString(); uri.setQuery(null); hrh.setURI(uri); } } hrh.setMethod(method); return hrh; }
compare to|public int (Object o) { int thisValue = this.value; int thatValue = ((IntWritable) o).value; return (thisValue < thatValue ? -1 : (thisValue == thatValue ? 0 : 1)); }
set custom endpoint initializer|public void (EndpointInitializer initializer) { Objects.requireNonNull(initializer, "Initializer has to be set"); ClosureCleaner.ensureSerializable(initializer); this.initializer = initializer; }
translate selector function reducer|private static <T, K> org.apache.flink.api.common.operators.SingleInputOperator<?, T, ?> (SelectorFunctionKeys<T, ?> rawKeys, ReduceFunction<T> function, TypeInformation<T> inputType, String name, Operator<T> input, int parallelism, CombineHint hint) { @SuppressWarnings("unchecked") final SelectorFunctionKeys<T, K> keys = (SelectorFunctionKeys<T, K>) rawKeys; TypeInformation<Tuple2<K, T>> typeInfoWithKey = KeyFunctions.createTypeWithKey(keys); Operator<Tuple2<K, T>> keyedInput = KeyFunctions.appendKeyExtractor(input, keys); PlanUnwrappingReduceOperator<T, K> reducer = new PlanUnwrappingReduceOperator<>(function, keys, name, inputType, typeInfoWithKey); reducer.setInput(keyedInput); reducer.setParallelism(parallelism); reducer.setCombineHint(hint); return KeyFunctions.appendKeyRemover(reducer, keys); }
connect job vertices|private DistributionPattern (Channel channel, int inputNumber, final JobVertex sourceVertex, final TaskConfig sourceConfig, final JobVertex targetVertex, final TaskConfig targetConfig, boolean isBroadcast) throws CompilerException { // ------------ connect the vertices to the job graph -------------- final DistributionPattern distributionPattern; switch(channel.getShipStrategy()) { case FORWARD: distributionPattern = DistributionPattern.POINTWISE; break; case PARTITION_RANDOM: case BROADCAST: case PARTITION_HASH: case PARTITION_CUSTOM: case PARTITION_RANGE: case PARTITION_FORCED_REBALANCE: distributionPattern = DistributionPattern.ALL_TO_ALL; break; default: throw new RuntimeException("Unknown runtime ship strategy: " + channel.getShipStrategy()); } final ResultPartitionType resultType; switch(channel.getDataExchangeMode()) { case PIPELINED: resultType = ResultPartitionType.PIPELINED; break; case BATCH: // BLOCKING results are currently not supported in closed loop iterations // // See https://issues.apache.org/jira/browse/FLINK-1713 for details resultType = channel.getSource().isOnDynamicPath() ? ResultPartitionType.PIPELINED : ResultPartitionType.BLOCKING; break; case PIPELINE_WITH_BATCH_FALLBACK: throw new UnsupportedOperationException("Data exchange mode " + channel.getDataExchangeMode() + " currently not supported."); default: throw new UnsupportedOperationException("Unknown data exchange mode."); } JobEdge edge = targetVertex.connectNewDataSetAsInput(sourceVertex, distributionPattern, resultType); // -------------- configure the source task's ship strategy strategies in task config -------------- final int outputIndex = sourceConfig.getNumOutputs(); sourceConfig.addOutputShipStrategy(channel.getShipStrategy()); if (outputIndex == 0) { sourceConfig.setOutputSerializer(channel.getSerializer()); } if (channel.getShipStrategyComparator() != null) { sourceConfig.setOutputComparator(channel.getShipStrategyComparator(), outputIndex); } if (channel.getShipStrategy() == ShipStrategyType.PARTITION_RANGE) { final DataDistribution dataDistribution = channel.getDataDistribution(); if (dataDistribution != null) { sourceConfig.setOutputDataDistribution(dataDistribution, outputIndex); } else { throw new RuntimeException("Range partitioning requires data distribution."); } } if (channel.getShipStrategy() == ShipStrategyType.PARTITION_CUSTOM) { if (channel.getPartitioner() != null) { sourceConfig.setOutputPartitioner(channel.getPartitioner(), outputIndex); } else { throw new CompilerException("The ship strategy was set to custom partitioning, but no partitioner was set."); } } // ---------------- configure the receiver ------------------- if (isBroadcast) { targetConfig.addBroadcastInputToGroup(inputNumber); } else { targetConfig.addInputToGroup(inputNumber); } // ---------------- attach the additional infos to the job edge ------------------- String shipStrategy = JsonMapper.getShipStrategyString(channel.getShipStrategy()); if (channel.getShipStrategyKeys() != null && channel.getShipStrategyKeys().size() > 0) { shipStrategy += " on " + (channel.getShipStrategySortOrder() == null ? channel.getShipStrategyKeys().toString() : Utils.createOrdering(channel.getShipStrategyKeys(), channel.getShipStrategySortOrder()).toString()); } String localStrategy; if (channel.getLocalStrategy() == null || channel.getLocalStrategy() == LocalStrategy.NONE) { localStrategy = null; } else { localStrategy = JsonMapper.getLocalStrategyString(channel.getLocalStrategy()); if (localStrategy != null && channel.getLocalStrategyKeys() != null && channel.getLocalStrategyKeys().size() > 0) { localStrategy += " on " + (channel.getLocalStrategySortOrder() == null ? channel.getLocalStrategyKeys().toString() : Utils.createOrdering(channel.getLocalStrategyKeys(), channel.getLocalStrategySortOrder()).toString()); } } String caching = channel.getTempMode() == TempMode.NONE ? null : channel.getTempMode().toString(); edge.setShipStrategyName(shipStrategy); edge.setPreProcessingOperationName(localStrategy); edge.setOperatorLevelCachingDescription(caching); return distributionPattern; }
